Time,y(t)
0.0,5.0
0.1,4.0
0.2,3.2
0.30000000000000004,2.56
0.4,2.048
0.5,1.6384
0.6000000000000001,1.31072
0.7000000000000001,1.0485760000000002
0.8,0.8388608000000002
0.9,0.6710886400000001
1.0,0.5368709120000001
1.1,0.4294967296000001
1.2000000000000002,0.3435973836800001
1.3,0.27487790694400005
1.4000000000000001,0.21990232555520003
1.5,0.17592186044416003
1.6,0.140737488355328
1.7000000000000002,0.11258999068426241
1.8,0.09007199254740993
1.9000000000000001,0.07205759403792794
2.0,0.057646075230342354
2.1,0.04611686018427388
2.2,0.03689348814741911
2.3000000000000003,0.029514790517935284
2.4000000000000004,0.02361183241434823
2.5,0.018889465931478583
2.6,0.015111572745182867
2.7,0.012089258196146294
2.8000000000000003,0.009671406556917036
2.9000000000000004,0.007737125245533628
3.0,0.006189700196426903
3.1,0.004951760157141522
3.2,0.003961408125713218
3.3000000000000003,0.0031691265005705745
3.4000000000000004,0.00253530120045646
3.5,0.0020282409603651678
3.6,0.0016225927682921343
3.7,0.0012980742146337075
3.8000000000000003,0.001038459371706966
3.9000000000000004,0.0008307674973655728
4.0,0.0006646139978924582
4.1000000000000005,0.0005316911983139665
4.2,0.00042535295865117324
4.3,0.0003402823669209386
4.4,0.00027222589353675085
4.5,0.0002177807148294007
4.6000000000000005,0.00017422457186352054
4.7,0.00013937965749081642
4.800000000000001,0.00011150372599265314
4.9,8.920298079412252e-05
5.0,7.136238463529802e-05
